stem,box_idx,x0,y0,x1,y1,box_area_px
SS21-34460^2021_06_03_15_56_55^^,3,845.0,587.0,1306.0,1089.0,231422.0
SS21-34460^2021_06_03_15_56_55^^,4,845.0,664.0,1550.0,1098.0,305970.0
SS21-34460^2021_06_03_15_56_55^^,5,1145.0,527.0,1771.0,1098.0,357446.0
SS21-34765^2021_06_04_16_31_12^^,0,451.0,679.0,688.0,941.0,62094.0
SS21-34765^2021_06_04_16_31_12^^,1,2114.0,772.0,2375.0,1077.0,79605.0
SS21-34765^2021_06_04_16_31_12^^,2,467.0,569.0,717.0,884.0,78750.0
SS21-34765^2021_06_04_16_31_12^^,3,361.0,687.0,622.0,931.0,63684.0
SS21-34765^2021_06_04_16_31_12^^,4,2190.0,761.0,2452.0,1035.0,71788.0
SS21-34765^2021_06_04_16_31_12^^,5,2064.0,639.0,2347.0,1043.0,114332.0
SS21-34765^2021_06_04_16_31_12^^,6,432.0,746.0,637.0,992.0,50430.0
SS21-34765^2021_06_04_16_31_12^^,7,512.0,651.0,813.0,916.0,79765.0
SS21-34765^2021_06_04_16_31_12^^,8,335.0,578.0,648.0,875.0,92961.0
SS21-34765^2021_06_07_07_13_53^^,0,2171.0,601.0,2410.0,909.0,73612.0
SS21-34765^2021_06_07_07_13_53^^,1,423.0,719.0,649.0,963.0,55144.0
SS21-34765^2021_06_07_07_13_53^^,2,2260.0,624.0,2486.0,886.0,59212.0
SS21-34765^2021_06_07_07_13_53^^,3,2092.0,498.0,2458.0,899.0,146766.0
SS21-34765^2021_06_07_07_13_53^^,4,448.0,612.0,706.0,956.0,88752.0
SS21-34765^2021_06_07_07_13_53^^,5,474.0,736.0,766.0,996.0,75920.0
SS21-34765^2021_06_07_07_13_53^^,6,365.0,634.0,619.0,933.0,75946.0
SS21-34765^2021_06_07_07_13_53^^,7,2222.0,672.0,2438.0,953.0,60696.0
SS21-34765^2021_06_07_07_13_53^^,8,377.0,774.0,607.0,1022.0,57040.0
SS21-34765^2021_06_07_07_13_53^^,9,441.0,762.0,684.0,1090.0,79704.0
SS21-35263^2021_06_08_11_01_21^^,0,731.0,156.0,1698.0,948.0,765864.0
SS21-35263^2021_06_08_11_01_21^^,1,1368.0,451.0,2180.0,1174.0,587076.0
SS21-35263^2021_06_08_11_01_21^^,2,927.0,156.0,2023.0,1132.0,1069696.0
SS21-35263^2021_06_08_11_01_21^^,3,660.0,633.0,1777.0,1506.0,975141.0
SS21-35263^2021_06_08_11_01_21^^,4,1192.0,517.0,2101.0,1507.0,899910.0
SS21-35263^2021_06_08_11_01_21^^,5,551.0,834.0,1454.0,1532.0,630294.0
SS21-35263^2021_06_08_11_01_21^^,6,278.0,928.0,1047.0,1494.0,435254.0
SS21-35263^2021_06_08_11_01_21^^,7,590.0,211.0,1419.0,992.0,647449.0
SS21-35269^2021_06_09_08_48_51^^,0,1152.0,908.0,1841.0,1413.0,347945.0
SS21-35269^2021_06_09_08_48_51^^,1,1135.0,365.0,1862.0,975.0,443470.0
SS21-35269^2021_06_09_08_48_51^^,2,1096.0,729.0,1795.0,1409.0,475320.0
SS21-35269^2021_06_09_08_48_51^^,3,1114.0,343.0,1838.0,805.0,334488.0
SS21-35425^2021_06_09_08_47_04^^,0,1269.0,844.0,1636.0,1183.0,124413.0
SS21-35425^2021_06_09_08_47_04^^,1,1087.0,673.0,1520.0,1122.0,194417.0
SS21-35425^2021_06_09_08_47_04^^,2,1066.0,850.0,1502.0,1231.0,166116.0
SS21-35425^2021_06_09_08_47_04^^,3,1143.0,891.0,1611.0,1245.0,165672.0
SS21-35590^2021_06_09_10_24_16^^,0,331.0,317.0,820.0,908.0,288999.0
SS21-35590^2021_06_09_10_24_16^^,1,1752.0,406.0,2268.0,937.0,273996.0
SS21-35590^2021_06_09_10_24_16^^,2,318.0,114.0,831.0,702.0,301644.0
SS21-35590^2021_06_09_10_24_16^^,3,1758.0,255.0,2223.0,800.0,253425.0
SS21-35590^2021_06_09_10_24_16^^,4,469.0,210.0,942.0,773.0,266299.0
SS21-35590^2021_06_09_10_24_16^^,5,1892.0,330.0,2306.0,839.0,210726.0
SS21-35590^2021_06_09_10_24_16^^,6,1893.0,449.0,2324.0,1005.0,239636.0
SS21-35590^2021_06_09_10_24_16^^,7,190.0,238.0,708.0,818.0,300440.0
SS21-35590^2021_06_09_10_24_16^^,8,1592.0,358.0,2127.0,867.0,272315.0
SS21-35590^2021_06_10_07_35_12^^,0,1748.0,321.0,2184.0,798.0,207972.0
SS21-35590^2021_06_10_07_35_12^^,1,692.0,126.0,1149.0,705.0,264603.0
SS21-35590^2021_06_10_07_35_12^^,2,644.0,331.0,1109.0,894.0,261795.0
SS21-35590^2021_06_10_07_35_12^^,3,768.0,254.0,1241.0,803.0,259677.0
SS21-35590^2021_06_10_07_35_12^^,4,1860.0,379.0,2256.0,903.0,207504.0
SS21-35590^2021_06_10_07_35_12^^,5,1813.0,178.0,2248.0,705.0,229245.0
SS21-35590^2021_06_10_07_35_12^^,6,1616.0,381.0,2103.0,901.0,253240.0
SS21-35590^2021_06_10_07_35_12^^,7,1614.0,228.0,2105.0,712.0,237644.0
SS21-35751^2021_06_10_08_45_29^^,0,1079.0,752.0,1614.0,1215.0,247705.0
SS21-35751^2021_06_10_08_45_29^^,1,1168.0,681.0,1694.0,1108.0,224602.0
SS21-35751^2021_06_10_08_45_29^^,2,1195.0,718.0,1812.0,1171.0,279501.0
SS21-35913^2021_06_10_10_46_24^^,0,938.0,496.0,1119.0,710.0,38734.0
SS21-35913^2021_06_10_10_46_24^^,1,1695.0,529.0,1953.0,843.0,81012.0
SS21-35913^2021_06_10_10_46_24^^,2,917.0,527.0,1096.0,812.0,51015.0
SS21-35913^2021_06_10_10_46_24^^,3,909.0,385.0,1122.0,668.0,60279.0
SS21-35913^2021_06_10_10_46_24^^,4,1736.0,612.0,1984.0,895.0,70184.0
SS21-35913^2021_06_11_07_40_56^^,0,843.0,527.0,1010.0,725.0,33066.0
SS21-35913^2021_06_11_07_40_56^^,1,802.0,439.0,986.0,672.0,42872.0
SS21-35913^2021_06_11_07_40_56^^,2,858.0,466.0,1065.0,703.0,49059.0
SS21-35913^2021_06_11_07_40_56^^,3,1770.0,533.0,1957.0,748.0,40205.0
SS21-35913^2021_06_11_07_40_56^^,4,827.0,581.0,1006.0,816.0,42065.0
SS21-35913^2021_06_11_07_40_56^^,5,780.0,533.0,973.0,753.0,42460.0
SS21-35913^2021_06_11_07_40_56^^,6,864.0,552.0,1060.0,787.0,46060.0
SS21-35933^2021_06_11_10_25_21^^,0,1173.0,736.0,1761.0,1251.0,302820.0
SS21-35933^2021_06_11_10_25_21^^,1,1281.0,623.0,1761.0,1115.0,236160.0
SS21-37283^2021_06_16_11_20_08^^,0,1498.0,758.0,1848.0,1097.0,118650.0
SS21-37283^2021_06_16_11_20_08^^,1,1385.0,754.0,1735.0,1061.0,107450.0
SS21-37283^2021_06_16_11_20_08^^,2,1513.0,630.0,2021.0,1079.0,228092.0
SS21-37283^2021_06_16_11_20_08^^,3,1750.0,535.0,2105.0,977.0,156910.0
SS21-37283^2021_06_16_11_20_08^^,4,1437.0,823.0,1769.0,1144.0,106572.0
SS21-37283^2021_06_16_11_20_08^^,5,1802.0,490.0,2089.0,793.0,86961.0
SS21-37283^2021_06_16_11_20_08^^,6,1425.0,584.0,1780.0,1097.0,182115.0
SS21-37283^2021_06_17_14_09_41^^,0,957.0,630.0,1315.0,1028.0,142484.0
SS21-37283^2021_06_17_14_09_41^^,1,1075.0,574.0,1360.0,994.0,119700.0
SS21-37283^2021_06_17_14_09_41^^,2,791.0,682.0,1226.0,1088.0,176610.0
SS21-37283^2021_06_17_14_09_41^^,3,1035.0,684.0,1401.0,1115.0,157746.0
SS21-37283^2021_06_17_14_09_41^^,4,874.0,465.0,1285.0,985.0,213720.0
SS21-37283^2021_06_17_14_09_41^^,5,765.0,766.0,1073.0,1084.0,97944.0
SS21-37283^2021_06_17_14_17_12^^,0,782.0,396.0,1025.0,543.0,35721.0
SS21-37283^2021_06_17_14_17_12^^,1,840.0,371.0,1084.0,529.0,38552.0
SS21-37283^2021_06_17_14_17_12^^,2,797.0,368.0,1045.0,488.0,29760.0
SS21-37293^2021_06_16_14_10_53^^,0,1040.0,698.0,1657.0,1142.0,273948.0
SS21-37293^2021_06_16_14_10_53^^,1,732.0,698.0,1392.0,1115.0,275220.0
SS21-37293^2021_06_16_14_10_53^^,2,732.0,780.0,1376.0,1203.0,272412.0
SS21-37293^2021_06_16_14_10_53^^,3,879.0,737.0,1657.0,1203.0,362548.0
SS21-37297^2021_06_17_08_30_20^^,0,1170.0,721.0,1571.0,1037.0,126716.0
SS21-37297^2021_06_17_08_30_20^^,1,1106.0,758.0,1528.0,1124.0,154452.0
SS21-37297^2021_06_17_08_30_20^^,2,1175.0,755.0,1741.0,1124.0,208854.0
SS21-37297^2021_06_17_08_30_20^^,3,1106.0,721.0,1490.0,1048.0,125568.0
SS21-37627^2021_06_17_14_40_39^^,0,1218.0,701.0,1600.0,969.0,102376.0
SS21-37627^2021_06_17_14_40_39^^,1,1150.0,732.0,1504.0,948.0,76464.0
SS21-37627^2021_06_17_14_40_39^^,2,1150.0,677.0,1547.0,905.0,90516.0
SS21-37627^2021_06_17_14_40_39^^,3,1285.0,677.0,1638.0,925.0,87544.0
SS21-37627^2021_06_17_14_40_39^^,4,1331.0,717.0,1646.0,978.0,82215.0
SS21-37784^2021_06_17_15_53_55^^,0,1248.0,680.0,1697.0,1005.0,145925.0
SS21-37784^2021_06_17_15_53_55^^,1,1246.0,775.0,1700.0,1088.0,142102.0
SS21-37784^2021_06_17_15_53_55^^,2,1202.0,742.0,1587.0,1054.0,120120.0
SS21-37784^2021_06_17_15_53_55^^,3,1359.0,688.0,1724.0,1050.0,132130.0
SS21-37921^2021_06_18_09_09_13^^,0,1668.0,980.0,1976.0,1335.0,109340.0
SS21-37921^2021_06_18_09_09_13^^,1,1618.0,880.0,1944.0,1258.0,123228.0
SS21-37921^2021_06_18_09_09_13^^,2,1737.0,1029.0,2068.0,1394.0,120815.0
SS21-37921^2021_06_18_09_09_13^^,3,1585.0,981.0,1878.0,1300.0,93467.0
SS21-37921^2021_06_18_09_09_13^^,4,1737.0,853.0,2068.0,1284.0,142661.0
SS21-37921^2021_06_18_09_09_13^^,5,1606.0,1054.0,1942.0,1426.0,124992.0
SS21-37921^2021_06_18_09_09_13^^,6,817.0,1046.0,1071.0,1310.0,67056.0
SS21-37921^2021_06_18_09_09_13^^,7,843.0,969.0,1082.0,1226.0,61423.0
SS21-37921^2021_06_18_09_09_13^^,8,1687.0,1077.0,2013.0,1517.0,143440.0
SS21-37921^2021_06_18_09_09_13^^,9,1684.0,657.0,2036.0,1234.0,203104.0
SS21-37921^2021_06_18_09_11_32^^,0,1197.0,543.0,1924.0,1236.0,503811.0
SS21-37921^2021_06_18_09_11_32^^,1,1296.0,516.0,1996.0,1074.0,390600.0
SS21-37921^2021_06_18_09_11_32^^,2,890.0,549.0,1718.0,1190.0,530748.0
SS21-37921^2021_06_18_09_11_32^^,3,1070.0,516.0,1824.0,1035.0,391326.0
SS21-37921^2021_06_18_09_11_32^^,4,719.0,484.0,1633.0,1043.0,510926.0
SS21-38174^2021_06_18_16_44_39^^,0,1782.0,456.0,2108.0,828.0,121272.0
SS21-38174^2021_06_18_16_44_39^^,1,843.0,812.0,1251.0,1325.0,209304.0
SS21-38174^2021_06_18_16_44_39^^,2,1716.0,496.0,2003.0,843.0,99589.0
SS21-38563^2021_06_22_09_19_14^^,0,1594.0,469.0,1837.0,759.0,70470.0
SS21-38563^2021_06_22_09_19_14^^,1,934.0,418.0,1178.0,753.0,81740.0
SS21-38563^2021_06_22_09_19_14^^,2,1013.0,427.0,1252.0,748.0,76719.0
SS21-38563^2021_06_22_09_19_14^^,3,1653.0,410.0,1896.0,702.0,70956.0
SS21-38563^2021_06_22_09_19_14^^,4,961.0,455.0,1219.0,889.0,111972.0
SS21-38563^2021_06_22_09_19_14^^,5,1551.0,522.0,1801.0,875.0,88250.0
SS21-38563^2021_06_22_09_19_14^^,6,983.0,354.0,1197.0,643.0,61846.0
SS21-38563^2021_06_22_09_19_14^^,7,1631.0,473.0,1918.0,867.0,113078.0
SS21-38563^2021_06_23_11_54_40^^,0,1515.0,520.0,1696.0,771.0,45431.0
SS21-38563^2021_06_23_11_54_40^^,1,920.0,549.0,1099.0,806.0,46003.0
SS21-38563^2021_06_23_11_54_40^^,2,1538.0,543.0,1742.0,855.0,63648.0
SS21-38563^2021_06_23_11_54_40^^,3,1560.0,454.0,1732.0,714.0,44720.0
SS21-38563^2021_06_23_11_54_40^^,4,1490.0,601.0,1729.0,966.0,87235.0
SS21-38563^2021_06_23_11_54_40^^,5,964.0,480.0,1131.0,745.0,44255.0
SS21-38563^2021_06_23_11_54_40^^,6,1572.0,500.0,1805.0,771.0,63143.0
SS21-38563^2021_06_23_11_54_40^^,7,944.0,581.0,1148.0,873.0,59568.0
SS21-38563^2021_06_23_11_54_40^^,8,983.0,528.0,1197.0,811.0,60562.0
SS21-38563^2021_06_23_11_54_40^^,9,1502.0,365.0,1709.0,689.0,67068.0
SS21-38563^2021_06_23_11_54_40^^,10,1457.0,554.0,1664.0,848.0,60858.0
SS21-38563^2021_06_23_11_54_40^^,11,1534.0,487.0,1843.0,911.0,131016.0
SS21-38567^2021_06_22_09_21_23^^,0,1776.0,743.0,2030.0,1054.0,78994.0
SS21-38567^2021_06_22_09_21_23^^,1,759.0,807.0,1006.0,1103.0,73112.0
SS21-38567^2021_06_22_09_21_23^^,2,1728.0,627.0,2001.0,998.0,101283.0
SS21-38567^2021_06_22_09_21_23^^,3,1695.0,114.0,1846.0,256.0,21442.0
SS21-38567^2021_06_22_09_21_23^^,4,837.0,753.0,1087.0,1042.0,72250.0
SS21-38567^2021_06_23_07_45_38^^,0,1495.0,240.0,1680.0,409.0,31265.0
SS21-38567^2021_06_23_07_45_38^^,1,652.0,889.0,846.0,1133.0,47336.0
SS21-38567^2021_06_23_10_21_57^^,0,1913.0,994.0,2343.0,1457.0,199090.0
SS21-38567^2021_06_23_10_21_57^^,1,1938.0,371.0,2334.0,797.0,168696.0
SS21-38567^2021_06_23_10_21_57^^,2,1981.0,1085.0,2422.0,1523.0,193158.0
SS21-38567^2021_06_23_10_21_57^^,3,1797.0,1076.0,2264.0,1506.0,200810.0
SS21-38567^2021_06_23_10_21_57^^,4,2037.0,958.0,2451.0,1407.0,185886.0
SS21-38576^2021_06_22_09_36_32^^,0,2012.0,825.0,2232.0,1079.0,55880.0
SS21-38576^2021_06_22_09_36_32^^,1,2064.0,759.0,2254.0,1037.0,52820.0
SS21-38576^2021_06_22_09_36_32^^,2,1996.0,712.0,2203.0,1027.0,65205.0
SS21-38576^2021_06_22_09_36_32^^,3,649.0,834.0,896.0,1169.0,82745.0
SS21-38576^2021_06_22_09_36_32^^,4,2053.0,803.0,2350.0,1106.0,89991.0
SS21-38576^2021_06_22_09_36_32^^,5,692.0,778.0,975.0,1131.0,99899.0
SS21-38576^2021_06_22_09_36_32^^,6,1898.0,810.0,2163.0,1072.0,69430.0
SS21-38576^2021_06_22_09_36_32^^,7,1948.0,856.0,2198.0,1168.0,78000.0
SS21-38576^2021_06_23_07_44_22^^,0,605.0,809.0,892.0,1161.0,101024.0
SS21-38576^2021_06_23_07_44_22^^,1,1699.0,791.0,1935.0,1107.0,74576.0
SS21-38576^2021_06_23_07_44_22^^,2,653.0,828.0,1014.0,1252.0,153064.0
SS21-38576^2021_06_23_07_44_22^^,3,1735.0,671.0,1985.0,1068.0,99250.0
SS21-38576^2021_06_23_07_44_22^^,4,673.0,227.0,931.0,670.0,114294.0
SS21-38576^2021_06_23_07_44_22^^,5,628.0,613.0,954.0,1126.0,167238.0
SS21-38576^2021_06_23_07_44_22^^,6,728.0,167.0,1025.0,648.0,142857.0
SS21-38576^2021_06_23_12_08_47^^,0,776.0,1231.0,1085.0,1495.0,81576.0
SS21-38576^2021_06_23_12_08_47^^,1,1849.0,287.0,2136.0,560.0,78351.0
SS21-38576^2021_06_23_12_08_47^^,2,1856.0,775.0,2129.0,968.0,52689.0
SS21-38576^2021_06_23_12_08_47^^,3,841.0,325.0,1183.0,593.0,91656.0
SS21-38576^2021_06_23_12_08_47^^,4,875.0,774.0,1206.0,1059.0,94335.0
SS21-38576^2021_06_23_12_08_47^^,5,1894.0,267.0,2167.0,500.0,63609.0
SS21-38576^2021_06_23_12_09_23^^,0,1864.0,911.0,2111.0,1112.0,49647.0
SS21-38576^2021_06_23_12_09_23^^,1,1874.0,866.0,2187.0,1077.0,66043.0
SS21-38576^2021_06_23_12_09_23^^,2,1862.0,908.0,2295.0,1161.0,109549.0
SS21-38745^2021_06_22_15_45_07^^,0,1260.0,673.0,1669.0,1031.0,146422.0
SS21-38745^2021_06_22_15_45_07^^,1,1220.0,590.0,1642.0,941.0,148122.0
SS21-38745^2021_06_22_15_45_07^^,2,1372.0,654.0,1740.0,1030.0,138368.0
SS21-38745^2021_06_22_15_45_07^^,3,1102.0,717.0,1629.0,1031.0,165478.0
SS21-38745^2021_06_22_15_45_07^^,4,1102.0,643.0,1592.0,985.0,167580.0
SS21-38745^2021_06_22_15_45_07^^,5,1336.0,590.0,1740.0,925.0,135340.0
SS21-39090^2021_06_24_08_22_37^^,0,871.0,663.0,1651.0,1190.0,411060.0
SS21-39090^2021_06_24_08_22_37^^,1,1117.0,780.0,1893.0,1277.0,385672.0
SS21-39090^2021_06_24_08_22_37^^,2,955.0,653.0,1821.0,1066.0,357658.0
SS21-39246^2021_06_25_08_31_34^^,0,1211.0,758.0,1652.0,1117.0,158319.0
SS21-39246^2021_06_25_08_31_34^^,1,1170.0,746.0,1622.0,1005.0,117068.0
SS21-39246^2021_06_25_08_31_34^^,2,1336.0,786.0,1691.0,1117.0,117505.0
SS21-39246^2021_06_25_08_31_34^^,3,1311.0,746.0,1691.0,1054.0,117040.0
SS21-40575^2021_06_30_09_23_01^^,0,707.0,1054.0,1305.0,1754.0,418600.0
SS21-40575^2021_06_30_09_23_01^^,1,1615.0,729.0,2277.0,1481.0,497824.0
SS21-40575^2021_06_30_09_23_01^^,2,716.0,766.0,1293.0,1522.0,436212.0
SS21-40575^2021_06_30_09_23_01^^,3,1771.0,622.0,2456.0,1412.0,541150.0
SS21-40575^2021_06_30_09_23_01^^,4,1512.0,932.0,2148.0,1512.0,368880.0
SS21-40575^2021_06_30_09_23_01^^,5,834.0,956.0,1432.0,1636.0,406640.0
SS21-40575^2021_06_30_09_23_01^^,6,454.0,1136.0,1128.0,1742.0,408444.0
SS21-40575^2021_06_30_09_23_01^^,7,1756.0,868.0,2391.0,1512.0,408940.0
SS21-40575^2021_06_30_09_23_01^^,8,430.0,752.0,1001.0,1500.0,427108.0
SS21-40575^2021_06_30_09_23_01^^,9,1946.0,759.0,2456.0,1492.0,373830.0
SS21-40575^2021_06_30_09_23_01^^,10,560.0,929.0,1180.0,1620.0,428420.0
SS21-40575^2021_06_30_09_23_01^^,11,806.0,732.0,1204.0,1291.0,222482.0
SS21-40575^2021_07_01_07_44_16^^,0,1583.0,1037.0,2218.0,1785.0,474980.0
SS21-40575^2021_07_01_07_44_16^^,1,528.0,861.0,1164.0,1619.0,482088.0
SS21-40575^2021_07_01_07_44_16^^,2,1850.0,732.0,2467.0,1502.0,475090.0
SS21-40575^2021_07_01_07_44_16^^,3,1618.0,845.0,2087.0,1543.0,327362.0
SS21-40575^2021_07_01_07_44_16^^,4,1686.0,912.0,2295.0,1567.0,398895.0
SS21-40575^2021_07_01_07_44_16^^,5,461.0,734.0,989.0,1475.0,391248.0
SS21-40575^2021_07_01_07_44_16^^,6,633.0,1176.0,1231.0,1817.0,383318.0
SS21-40575^2021_07_01_07_44_16^^,7,720.0,824.0,1289.0,1486.0,376678.0
SS21-40575^2021_07_01_07_44_16^^,8,552.0,625.0,1108.0,1284.0,366404.0
SS21-40575^2021_07_01_07_44_16^^,9,1797.0,1015.0,2435.0,1567.0,352176.0
SS21-40575^2021_07_01_07_44_16^^,10,462.0,1071.0,1101.0,1751.0,434520.0
SS21-40575^2021_07_01_07_44_16^^,11,775.0,1063.0,1320.0,1644.0,316645.0
SS21-40575^2021_07_01_07_44_16^^,12,1619.0,711.0,2014.0,1370.0,260305.0
SS21-40575^2021_07_01_07_44_16^^,13,598.0,427.0,1335.0,1368.0,693517.0
SS21-40575^2021_07_01_07_44_16^^,14,461.0,641.0,892.0,1325.0,294804.0
SS21-40580^2021_06_30_14_25_46^^,0,978.0,377.0,1715.0,809.0,318384.0
SS21-40580^2021_06_30_14_25_46^^,1,727.0,382.0,1624.0,965.0,522951.0
SS21-40589^2021_07_01_08_35_56^^,0,976.0,771.0,1546.0,1252.0,274170.0
SS21-40589^2021_07_01_08_35_56^^,1,1132.0,700.0,1733.0,1210.0,306510.0
SS21-40589^2021_07_01_08_35_56^^,2,1003.0,547.0,1602.0,1135.0,352212.0
SS21-40589^2021_07_01_08_35_56^^,3,834.0,641.0,1499.0,1211.0,379050.0
SS21-40589^2021_07_01_08_35_56^^,4,1040.0,803.0,1713.0,1361.0,375534.0
SS21-40589^2021_07_01_08_35_56^^,5,1178.0,515.0,1943.0,1182.0,510255.0
SS21-40772^2021_06_30_15_43_25^^,0,1160.0,779.0,1483.0,998.0,70737.0
SS21-40772^2021_06_30_15_43_25^^,1,1107.0,771.0,1447.0,960.0,64260.0
SS21-40772^2021_06_30_15_43_25^^,2,1220.0,771.0,1483.0,953.0,47866.0
SS21-40783^2021_06_30_15_48_49^^,0,1096.0,775.0,1500.0,1021.0,99384.0
SS21-40783^2021_06_30_15_48_49^^,1,1040.0,798.0,1381.0,1026.0,77748.0
SS21-40783^2021_06_30_15_48_49^^,2,1040.0,764.0,1415.0,976.0,79500.0
SS21-40783^2021_06_30_15_48_49^^,3,1132.0,826.0,1487.0,1100.0,97270.0
SS21-40783^2021_06_30_15_48_49^^,4,1200.0,764.0,1526.0,996.0,75632.0
SS21-40783^2021_06_30_15_48_49^^,5,1230.0,787.0,1526.0,1063.0,81696.0
SS21-40937^2021_07_01_10_13_23^^,0,1142.0,678.0,1548.0,1043.0,148190.0
SS21-40937^2021_07_01_10_13_23^^,1,1153.0,727.0,1626.0,1120.0,185889.0
SS21-40937^2021_07_01_10_13_23^^,2,1032.0,698.0,1488.0,1095.0,181032.0
SS21-41209^2021_07_02_09_01_22^^,0,1204.0,703.0,1746.0,1150.0,242274.0
SS21-41209^2021_07_02_09_01_22^^,1,1124.0,782.0,1651.0,1157.0,197625.0
SS21-41209^2021_07_02_09_01_22^^,2,1162.0,690.0,1717.0,1015.0,180375.0
SS21-41209^2021_07_02_09_01_22^^,3,1114.0,690.0,1587.0,1087.0,187781.0
SS21-41214^2021_07_02_08_24_05^^,0,1914.0,980.0,2064.0,1157.0,26550.0
SS21-41214^2021_07_05_07_36_15^^,0,2034.0,963.0,2284.0,1232.0,67250.0
SS21-41214^2021_07_05_13_10_15^^,0,583.0,313.0,768.0,492.0,33115.0
SS21-41367^2021_07_02_15_33_33^^,0,1281.0,63.0,1692.0,629.0,232626.0
SS21-41367^2021_07_02_15_33_33^^,1,1327.0,654.0,1709.0,1256.0,229964.0
SS21-41367^2021_07_02_15_43_52^^,0,729.0,366.0,1026.0,747.0,113157.0
SS21-41367^2021_07_05_07_44_56^^,0,764.0,274.0,1245.0,741.0,224627.0
SS21-41367^2021_07_05_07_44_56^^,1,1585.0,26.0,2119.0,654.0,335352.0
SS21-41367^2021_07_05_07_44_56^^,2,1682.0,151.0,2208.0,789.0,335588.0
SS21-41367^2021_07_05_07_44_56^^,3,683.0,274.0,1164.0,894.0,298220.0
SS21-41367^2021_07_05_07_44_56^^,4,644.0,274.0,1090.0,777.0,224338.0
SS21-41367^2021_07_05_07_44_56^^,5,1779.0,26.0,2230.0,631.0,272855.0
SS21-41367^2021_07_05_07_44_56^^,6,858.0,292.0,1303.0,816.0,233180.0
SS21-41367^2021_07_05_07_44_56^^,7,1548.0,177.0,2044.0,757.0,287680.0
SS21-41367^2021_07_05_12_20_05^^,0,1466.0,661.0,1821.0,971.0,110050.0
SS21-41367^2021_07_05_12_20_05^^,1,1428.0,727.0,1721.0,1012.0,83505.0
SS21-41367^2021_07_05_12_20_05^^,2,1370.0,1233.0,1747.0,1529.0,111592.0
SS21-42051^2021_07_07_08_33_55^^,0,931.0,529.0,1475.0,1092.0,306272.0
SS21-42051^2021_07_07_08_33_55^^,1,1059.0,370.0,1703.0,844.0,305256.0
SS21-42051^2021_07_07_08_33_55^^,2,962.0,598.0,1614.0,1254.0,427712.0
SS21-42051^2021_07_07_08_33_55^^,3,1267.0,695.0,1853.0,1300.0,354530.0
SS21-42051^2021_07_07_08_33_55^^,4,1169.0,370.0,1853.0,1015.0,441180.0
SS21-42051^2021_07_07_08_33_55^^,5,931.0,370.0,1587.0,1013.0,421808.0
SS21-42051^2021_07_07_08_33_55^^,6,1384.0,456.0,1853.0,1051.0,279055.0
SS21-42371^2021_07_07_16_11_23^^,0,1305.0,822.0,1744.0,1030.0,91312.0
SS21-42371^2021_07_07_16_11_23^^,1,1059.0,848.0,1460.0,1114.0,106666.0
SS21-42371^2021_07_07_16_11_23^^,2,1147.0,812.0,1618.0,1040.0,107388.0
SS21-42371^2021_07_07_16_11_23^^,3,1448.0,794.0,1790.0,1010.0,73872.0
SS21-42371^2021_07_07_16_11_23^^,4,1400.0,846.0,1790.0,1076.0,89700.0
SS21-42510^2021_07_08_09_06_02^^,0,781.0,979.0,1064.0,1251.0,76976.0
